Name,Status,Seller_Level,Location,Price,Stars,Ratings,URL,Thumbnails Image,UPC,Images
1911 $2.50 Indian Head Gold Quarter Eagle - NGC MS60 - Beautiful! Just Graded,,,From United States,$405.00,Tim,0,https://www.ebay.com/itm/1911-2-50-Indian-Head-Gold-Quarter-Eagle-NGC-MS60-Beautiful-Just-Graded/383870422544?hash=item596075ce10:g:nIQAAOSwCxtfx4hS,https://i.ebayimg.com/thumbs/images/g/nIQAAOSwCxtfx4hS/s-l225.jpg,,"https://i.ebayimg.com/images/g/nIQAAOSwCxtfx4hS/s-l64.jpg,https://i.ebayimg.com/images/g/QlAAAOSwelFfx4gB/s-l64.jpg,https://i.ebayimg.com/images/g/QWoAAOSwrptfx4gK/s-l64.jpg,https://i.ebayimg.com/images/g/qksAAOSwgPtfx4gZ/s-l64.jpg,https://i.ebayimg.com/images/g/VxkAAOSwTPRfx4hu/s-l64.jpg,https://i.ebayimg.com/images/g/rPUAAOSwtmhfx4g5/s-l64.jpg,https://i.ebayimg.com/images/g/5XsAAOSw5QNfx4hE/s-l64.jpg,https://i.ebayimg.com/images/g/8oMAAOSwCudfx4ZT/s-l64.jpg,https://i.ebayimg.com/images/g/fLcAAOSwlHdfx4ie/s-l64.jpg,https://i.ebayimg.com/images/g/nIQAAOSwCxtfx4hS/s-l64.jpg,https://i.ebayimg.com/images/g/QlAAAOSwelFfx4gB/s-l64.jpg,https://i.ebayimg.com/images/g/QWoAAOSwrptfx4gK/s-l64.jpg,https://i.ebayimg.com/images/g/qksAAOSwgPtfx4gZ/s-l64.jpg,https://i.ebayimg.com/images/g/VxkAAOSwTPRfx4hu/s-l64.jpg,https://i.ebayimg.com/images/g/rPUAAOSwtmhfx4g5/s-l64.jpg,https://i.ebayimg.com/images/g/5XsAAOSw5QNfx4hE/s-l64.jpg,https://i.ebayimg.com/images/g/8oMAAOSwCudfx4ZT/s-l64.jpg,https://i.ebayimg.com/images/g/fLcAAOSwlHdfx4ie/s-l64.jpg"
1836 US Gold Half Eagle Classic Head NGC AU Details	,,,From United States,$975.00,Wat,0,https://www.ebay.com/itm/1836-US-Gold-Half-Eagle-Classic-Head-NGC-AU-Details/402617223857?hash=item5dbddb4ab1:g:TlIAAOSwbdNf39Ih,https://i.ebayimg.com/thumbs/images/g/TlIAAOSwbdNf39Ih/s-l225.jpg,,"https://i.ebayimg.com/images/g/TlIAAOSwbdNf39Ih/s-l64.jpg,https://i.ebayimg.com/images/g/PxsAAOSwildf39IE/s-l64.jpg,https://i.ebayimg.com/images/g/diUAAOSwQPVf39H2/s-l64.jpg,https://i.ebayimg.com/images/g/NvwAAOSw2Zhf39Hv/s-l64.jpg,https://i.ebayimg.com/images/g/FGcAAOSwCN9f39HY/s-l64.jpg,https://i.ebayimg.com/images/g/E5QAAOSwCjJf39HO/s-l64.jpg,https://i.ebayimg.com/images/g/oC0AAOSwgwNf39Hl/s-l64.jpg,https://i.ebayimg.com/images/g/TlIAAOSwbdNf39Ih/s-l64.jpg,https://i.ebayimg.com/images/g/PxsAAOSwildf39IE/s-l64.jpg,https://i.ebayimg.com/images/g/diUAAOSwQPVf39H2/s-l64.jpg,https://i.ebayimg.com/images/g/NvwAAOSw2Zhf39Hv/s-l64.jpg,https://i.ebayimg.com/images/g/FGcAAOSwCN9f39HY/s-l64.jpg,https://i.ebayimg.com/images/g/E5QAAOSwCjJf39HO/s-l64.jpg,https://i.ebayimg.com/images/g/oC0AAOSwgwNf39Hl/s-l64.jpg"
1909 Saint Gaudens PCGS MS63 $20  *Credit Cards Only,,,From United States,"$3,290.00",Wat,0,https://www.ebay.com/itm/1909-Saint-Gaudens-PCGS-MS63-20-Credit-Cards-Only/154266416252?hash=item23eafeb47c:g:x3EAAOSwW-Bf6hab,https://i.ebayimg.com/thumbs/images/g/x3EAAOSwW-Bf6hab/s-l225.jpg,,"https://i.ebayimg.com/images/g/x3EAAOSwW-Bf6hab/s-l64.jpg,https://i.ebayimg.com/images/g/JkYAAOSwsaZf6haW/s-l64.jpg,https://i.ebayimg.com/images/g/jVUAAOSwjOBf6haV/s-l64.jpg,https://i.ebayimg.com/images/g/xgoAAOSwKT5f6haY/s-l64.jpg,https://i.ebayimg.com/images/g/x3EAAOSwW-Bf6hab/s-l64.jpg,https://i.ebayimg.com/images/g/JkYAAOSwsaZf6haW/s-l64.jpg,https://i.ebayimg.com/images/g/jVUAAOSwjOBf6haV/s-l64.jpg,https://i.ebayimg.com/images/g/xgoAAOSwKT5f6haY/s-l64.jpg"
1886 $5 Gold Liberty Half Eagle Graded by PCGS as MS-63! Gorgeous Gold!,,Top Rated Plus,From United States,"$1,154.99",Wat,0,https://www.ebay.com/itm/1886-5-Gold-Liberty-Half-Eagle-Graded-by-PCGS-as-MS-63-Gorgeous-Gold/252597937993?_trkparms=ispr%3D1&hash=item3ad002a749:g:0lAAAOSwo4pYCn4X&amdata=enc%3AAQAFAAACgBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkrDx%252B2NLp21dg6hHbHAkGMUn3IYsn8qbLCXpchMhdtYuokQlJWUhBoMDdVDTrkSrymCnO9%252FLqFTFMWnSo0eLkDAGX2c%252BA38u5j1nfgMPSBVcP9Sk0la%252FXx8shMNthH4t%252FTluAW3yyYLBZkARMTPo2W2N8yyXbK4PR%252BO1tYxYw4tKSxt3XnIxNawdQcWDOS1%252Fug%252FykmWS4kA6Vj1AL3tbF06q5ztI4v5N9%252BICzsLi2Iludnf%252BF7337xHkeqEMb78bD45Dhk0G3KlH%252FY1pp3sb5ES%252FsYozaFgTf7N9eOohUzHj0nH2Byuxuubu7hKPuePYWZKZnO1ogEdrvM27TWJAr3dXLBuipOAVa%252FIg158LIo8fOu9N01sTpkp1vHphA4CSYCqar5JS%252BBw5LsXEbARAE7fytJGD4yW%252BSJ9W1UGTpd3cXc6W%252BKBpt%252BSNJYXwScKsxUINjg5bs%252Bve2qxsP%252BjcN6%252BdE7cnbSL0eaI7DnOZzDVTYozCdToyR4C%252BZ0GxgTNRWK0PLDDGEcKDW%252FTcMjiCfzon8OFlB08gevvdzufhpvl52oHFUz8VT2s2S5LUnh2W1ZkcVXOxMBhiTvUBTQ9lal7DRX%252F%252FvGmfgGVOBO598Wr%252F4QFINx51KfBi2AKhw3hMIrnlH9VvWy7XSpKXwFMCqWW7zMWgwkXrUgv3xVpvvNJh%252BGluBulR1MqhYGQN5M%252BNIKLJklsyS3KGChhwefiJ5anYFWl3P9ezq3DaMRUkycwe6e71B5H1uga6dG%252FzLxXtGiSjjdRql3aqCyJQKhPZVf0sLEZNYz4US2ELnW30g%252FaU%253D%7Ccksum%3A2525979379933d7920e6e06c468d9b29d52ea6b5ef8e%7Campid%3APL_CLK%7Cclp%3A2334524,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,,"https://i.ebayimg.com/images/g/0lAAAOSwo4pYCn4X/s-l64.jpg,https://i.ebayimg.com/images/g/87UAAOSwUEVYCn4a/s-l64.jpg,https://i.ebayimg.com/images/g/K~wAAOSwn7JYCn4c/s-l64.jpg,https://i.ebayimg.com/images/g/AqsAAOSwA3dYCn4f/s-l64.jpg,https://i.ebayimg.com/images/g/0lAAAOSwo4pYCn4X/s-l64.jpg,https://i.ebayimg.com/images/g/87UAAOSwUEVYCn4a/s-l64.jpg,https://i.ebayimg.com/images/g/K~wAAOSwn7JYCn4c/s-l64.jpg,https://i.ebayimg.com/images/g/AqsAAOSwA3dYCn4f/s-l64.jpg"
NGC MS61 1910 $2.5 Indian Head Gold Coin.! BU.!,,,From United States,$540.00,Wat,0,https://www.ebay.com/itm/NGC-MS61-1910-2-5-Indian-Head-Gold-Coin-BU/114441764328?_trkparms=ispr%3D1&hash=item1aa542bde8:g:1T4AAOSwHqdfd1Ax&amdata=enc%3AAQAFAAACgBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkAgU0umhwUTmgTFbE5cu7zY58UFWAA3p0MBCQBiKu1S6sNwjB6OgZcrA%252FfPOBiigeFq25UYK%252FQ%252FlpUnzQ9oJtk0%252FLObHouPL6dO363WN%252FYGVbi8krojHhQpLA4NfjHUwT1h03Rc%252F764rILfda%252F%252FgNcCN0Q0uT9brBqTn68clldM8WiaCFPYdkDEyK3BO8EQF1Oi0GoNdJlC47sF1pQOuAq1xIrzHG3wx%252BkVF43ExWpErXyXbdScVFpPUKYo1TM%252Bg8hYiezdL0LUc6wOC0x%252FMeotWtiR6LtxbDgz9IVuWE5RrFpeD8R4WT3qzQmaJsRhCcJ%252BmAocKGGZvi8c4SXzRtzCrOzEXJ%252BvqSwM2CyuNV20Woc%252FEOiPQrv7Wh3Uu5bLGVoEzKNGP3vMkjzfUQUQifliRjZnCr98yQzsA0eN0%252FoftHRPY5MSTu%252FNnAmdsBqxkv7celWoz4o%252FwavWdnBaNIfKiMUQL0ScBp4m2WADwod%252F%252BE0MoFC8IZR6P4yDMhpAqpfP2xfEd5sp6spm9FG9oLsTO9I5c0YF7Qz%252BHYXqW2Mnucjb%252F%252FVqIZXKD6eRgRFCUwqE7jur5FueDtGcZSLkpHe9IvprjwG5bXLW2rnMH1B0PgeanhbWxwbu0t6FfQYmHWdiAyrdMbhC6hDXwndu%252BPZ0sa1X9IxfIvI8bNIhyVNqJuiP4bf1EGCITI%252FOhUaRONxSZRqk8nI1kAerv5vS7g0kH5byDs0sUnT%252BpWTQQJhDbQTBiUNDwNl8wwRzNfCTiiyDijlh6hcUvj%252FAniFCZ9QASHhl8KbnMWPgoHV1mqj9A%253D%7Ccksum%3A1144417643283d7920e6e06c468d9b29d52ea6b5ef8e%7Campid%3APL_CLK%7Cclp%3A2334524,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,,"https://i.ebayimg.com/images/g/1T4AAOSwHqdfd1Ax/s-l64.jpg,https://i.ebayimg.com/images/g/C7IAAOSw1wtfd1A1/s-l64.jpg,https://i.ebayimg.com/images/g/1T4AAOSwHqdfd1Ax/s-l64.jpg,https://i.ebayimg.com/images/g/C7IAAOSw1wtfd1A1/s-l64.jpg"
1910 $2 1/2 NGC MS61 - Slightly Better Date - 2.50 Indian Gold Coin,,,From United States,$570.00,Wat,0,https://www.ebay.com/itm/1910-2-1-2-NGC-MS61-Slightly-Better-Date-2-50-Indian-Gold-Coin/393064308151?hash=item5b84755db7:g:Lh8AAOSw7XFf3rmg,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,,"https://i.ebayimg.com/images/g/Lh8AAOSw7XFf3rmg/s-l64.jpg,https://i.ebayimg.com/images/g/CHkAAOSwuRxf3rmf/s-l64.jpg,https://i.ebayimg.com/images/g/rsIAAOSwrNBf3r5g/s-l64.jpg,https://i.ebayimg.com/images/g/gisAAOSwYGNf3r5f/s-l64.jpg,https://i.ebayimg.com/images/g/Lh8AAOSw7XFf3rmg/s-l64.jpg,https://i.ebayimg.com/images/g/CHkAAOSwuRxf3rmf/s-l64.jpg,https://i.ebayimg.com/images/g/rsIAAOSwrNBf3r5g/s-l64.jpg,https://i.ebayimg.com/images/g/gisAAOSwYGNf3r5f/s-l64.jpg"
Gold Liberty Head Dollar US $1 Coin Earrings,,,From United States,$499.99,Wat,0,https://www.ebay.com/itm/Gold-Liberty-Head-Dollar-US-1-Coin-Earrings/383793486717?hash=item595bdfdb7d:g:WLQAAOSwwSFfoYat,https://i.ebayimg.com/thumbs/images/g/WLQAAOSwwSFfoYat/s-l225.jpg,,"https://i.ebayimg.com/images/g/WLQAAOSwwSFfoYat/s-l64.jpg,https://i.ebayimg.com/images/g/pmUAAOSwv4xfoYat/s-l64.jpg,https://i.ebayimg.com/images/g/WLQAAOSwwSFfoYat/s-l64.jpg,https://i.ebayimg.com/images/g/pmUAAOSwv4xfoYat/s-l64.jpg"
1842 C GOLD $5 CHARLOTTE MINT LARGE DATE UNITED STATES LIBERTY PCGS VERY FINE 25,,,From United States,"$2,499.00",Wat,0,https://www.ebay.com/itm/1842-C-GOLD-5-CHARLOTTE-MINT-LARGE-DATE-UNITED-STATES-LIBERTY-PCGS-VERY-FINE-25/333706876311?hash=item4db27ad597:g:i3YAAOSwGS9fTVYm,https://i.ebayimg.com/thumbs/images/g/i3YAAOSwGS9fTVYm/s-l225.jpg,,"https://i.ebayimg.com/images/g/i3YAAOSwGS9fTVYm/s-l64.jpg,https://i.ebayimg.com/images/g/d-UAAOSwNkZfTVYp/s-l64.jpg,https://i.ebayimg.com/images/g/i3YAAOSwGS9fTVYm/s-l64.jpg,https://i.ebayimg.com/images/g/d-UAAOSwNkZfTVYp/s-l64.jpg"
1909-D $5 Gold Indian Head Half Eagle in AU+ Condition,,Top Rated Plus,From United States,$649.99,Wat,0,https://www.ebay.com/itm/1909-D-5-Gold-Indian-Head-Half-Eagle-in-AU-Condition/264943830435?hash=item3dafe205a3:g:t2cAAOSwPMpfmHWY,https://i.ebayimg.com/thumbs/images/g/t2cAAOSwPMpfmHWY/s-l225.jpg,,"https://i.ebayimg.com/images/g/t2cAAOSwPMpfmHWY/s-l64.jpg,https://i.ebayimg.com/images/g/k1UAAOSw765fmHWb/s-l64.jpg,https://i.ebayimg.com/images/g/bs8AAOSw3zJfmHWd/s-l64.jpg,https://i.ebayimg.com/images/g/6ygAAOSwh-RfmHWf/s-l64.jpg,https://i.ebayimg.com/images/g/t2cAAOSwPMpfmHWY/s-l64.jpg,https://i.ebayimg.com/images/g/k1UAAOSw765fmHWb/s-l64.jpg,https://i.ebayimg.com/images/g/bs8AAOSw3zJfmHWd/s-l64.jpg,https://i.ebayimg.com/images/g/6ygAAOSwh-RfmHWf/s-l64.jpg"
1884 CC CARSON CITY GOLD $20 LIBERTY HEAD DOUBLE EAGLE COIN NGC ABOUT UNC 55,,,From United States,"$4,799.00",Wat,0,https://www.ebay.com/itm/1884-CC-CARSON-CITY-GOLD-20-LIBERTY-HEAD-DOUBLE-EAGLE-COIN-NGC-ABOUT-UNC-55/333833025068?hash=item4db9ffb62c:g:LPkAAOSwhKVf4Nsu,https://i.ebayimg.com/thumbs/images/g/LPkAAOSwhKVf4Nsu/s-l225.jpg,,"https://i.ebayimg.com/images/g/LPkAAOSwhKVf4Nsu/s-l64.jpg,https://i.ebayimg.com/images/g/AyMAAOSweXhf4Nsy/s-l64.jpg,https://i.ebayimg.com/images/g/LPkAAOSwhKVf4Nsu/s-l64.jpg,https://i.ebayimg.com/images/g/AyMAAOSweXhf4Nsy/s-l64.jpg"
